Date,Open,High,Low,Close,Volume
2020-01-02,294.91296621198353,296.1435228475682,293.9923228046252,296.1252746582031,59151200
2020-01-03,292.743687465963,295.00426646962256,292.6889985061255,293.8830871582031,77709700
2020-01-06,292.1328118215423,295.08615327203825,292.0143098616565,295.0041198730469,55653900
2020-01-07,294.43897268463854,294.9129805533922,293.7279886988713,294.1746520996094,40496400
2020-01-08,294.3660894233574,296.95480128822834,294.1199891894408,295.74249267578125,68296000
2020-01-09,297.3011366636997,297.820709338136,296.71775096243204,297.7477722167969,48473300
2020-01-10,298.33111551766575,298.4860581981078,296.4260437995196,296.8908996582031,53029300
2020-01-13,297.5108322451486,298.9418965712198,297.0824170116794,298.93280029296875,47086800
2020-01-14,298.4951490779747,299.54339043837496,297.9208876167295,298.4769287109375,62832800
2020-01-15,298.38584690535674,299.9080685509151,298.3038135068561,299.1515197753906,72056600
2020-01-16,300.52795985830204,301.6400146484375,300.30008000636747,301.6400146484375,54050300
2020-01-17,302.3510385750234,302.78855014536276,301.5762414127228,302.57891845703125,95846000
2020-01-21,301.6217259743135,302.78846954692693,301.5488166711206,301.986328125,77742400
2020-01-22,302.84318902456715,303.49038781097767,301.8678844320141,302.0228271484375,48914900
2020-01-23,301.37561848363805,302.77936593801815,300.2635638696882,302.3691711425781,51963000
2020-01-24,303.0254328321711,303.1074662187742,298.3948999055085,299.6801452636719,87578400
2020-01-27,294.4481411214826,296.3532135264237,294.1108833593813,294.8765563964844,84062500
2020-01-28,296.29842651664376,298.84157285281924,294.96761628432836,297.9665222167969,63834000
2020-01-29,299.32471133178075,299.55259115613137,297.5198931086739,297.7204284667969,53888900
2020-01-30,295.66042488337473,298.89633550564963,294.9130001022843,298.6866760253906,75491800
2020-01-31,298.06678837146853,298.22175888029057,292.3515728105219,293.2630920410156,113845600
2020-02-03,294.73972960780577,297.30109625380913,294.6212276647578,295.44158935546875,69083000
2020-02-04,299.0421238964606,300.8104734483571,298.723086598825,299.94451904296875,62573200
2020-02-05,302.87059303020703,303.618045742721,301.4121839936726,303.40838623046875,65951100
2020-02-06,304.3654472195234,304.62067153969036,303.35364621707834,304.42926025390625,50359700
2020-02-07,303.37177798725406,304.438239701868,302.259723629564,302.806640625,64139400
2020-02-10,301.9226265793127,305.13116533874893,301.88615800893024,305.0673522949219,42070000
2020-02-11,306.41633961218275,307.2002328793031,305.0672809970112,305.5959777832031,54864500
2020-02-12,307.0269985310537,307.77445094789596,306.66239641614675,307.5648193359375,43992700
2020-02-13,306.14282963542433,308.2028719590965,305.86938499837,307.2366638183594,54501900
2020-02-14,307.64690946641167,307.8474448392001,306.4528213248784,307.72894287109375,64582200
2020-02-18,306.735347223604,307.79271287619065,305.550355525555,306.9358825683594,57226200
2020-02-19,307.9021483533661,309.077988360176,307.6195795625174,308.4034729003906,48814700
2020-02-20,307.8565243216202,308.67691395841035,304.15575813081296,307.1364440917969,74163400
2020-02-21,305.78739481387316,306.09730805211063,303.1530905628107,303.9734802246094,113788200
2020-02-24,294.5483543223174,304.0463696689848,292.8164454315438,293.8920593261719,161088400
2020-02-25,295.2776038121276,295.8883062471929,284.11149089171784,284.9865417480469,218913200
2020-02-26,286.3812203362082,289.96348567658595,283.20914994146716,283.9383544921875,194773800
2020-02-27,278.4326260777627,283.99289834255785,271.1860656738281,271.1860656738281,284353500
2020-02-28,263.15569806188904,271.5325647241753,260.2752930240666,270.0467834472656,384975800
2020-03-02,271.8241515658398,281.80529862026447,268.40595433040124,281.7414855957031,238703600
2020-03-03,282.1152700822015,286.07126116142535,271.24084970802795,273.6745910644531,300139100
2020-03-04,279.03434596352906,285.39676211227726,276.4911987598748,285.177978515625,176613400
2020-03-05,277.995197331708,281.17639114422417,273.46494478951723,275.6981506347656,186366800
2020-03-06,267.2118873410211,272.3437456449538,264.5502664620457,271.1405334472656,228667200
2020-03-09,250.9412162354038,259.04463500455796,249.2549280257215,249.9659118652344,309417300
2020-03-10,259.45487913879975,262.99155082298614,249.30054030564344,262.9004211425781,276444100
2020-03-11,255.863530672836,256.9938059331485,246.912402650246,250.08447265625,255316300
2020-03-12,233.34891409586524,243.06571205997136,225.76506771158364,226.1570281982422,392220700
2020-03-13,239.8116116538747,247.45927200830852,226.5307825549705,245.49038696289065,329566100
2020-03-16,219.84022288446775,234.16930770515287,216.3582263151674,218.62791442871097,297240000
2020-03-17,223.35868442017195,233.50391264622428,216.0938883539165,230.4320831298828,262070500
2020-03-18,215.34648084640503,226.3940926828577,207.84467929166857,218.76467895507812,327597100
2020-03-19,218.08101328487268,225.49167035009617,211.67303310856977,219.22952270507812,289322000
2020-03-20,222.3707472149836,224.14949538908877,209.50693107809147,209.7819976806641,347158800
2020-03-23,209.22271174158337,210.58885308857097,200.1180920586079,204.4182586669922,326025200
2020-03-24,214.9348855755391,223.81028619851725,214.3664247760725,222.93923950195312,235494500
2020-03-25,224.5162352253458,235.04201992086357,219.82181757105965,226.27664184570312,299430300
2020-03-26,228.7797629312914,240.95590684573168,228.34882847309677,239.48892211914065,257632800
2020-03-27,232.2179882488624,239.13125094392717,230.18251539899777,232.3555145263672,224341200
2020-03-30,234.44598507045504,240.61657754872647,232.45635908535013,239.9014129638672,171369500
2020-03-31,238.9020663927464,241.44181196172076,234.92281361805345,236.3256378173828,194881100
2020-04-01,227.36769465180856,236.24309237023044,223.62682592656952,225.68980407714844,189554600
2020-04-02,224.80964222485147,231.67705936295383,224.25950903784965,230.8977203369141,177660400
2020-04-03,229.91662928983567,232.2638518564536,224.83712454211465,227.5602569580078,135561200
2020-04-06,236.40812276656249,244.80673935456576,227.54190283658448,242.8446044921875,188061200
2020-04-07,251.41744466183377,252.16929234238347,242.8721515432312,243.0921936035156,201427200
2020-04-08,245.6869771638037,253.0586948036147,243.20224201687972,251.25244140625,153774500
2020-04-09,254.50734750334323,257.8264741218556,252.57274558290803,255.07583618164065,189999200
2020-04-13,254.10397034489313,254.44321124594032,248.85024130979565,252.7469787597656,114839100
2020-04-14,257.6248038351175,261.2189556921162,252.60947200950213,260.20123291015625,134143400
2020-04-15,254.49824549327255,260.3387633386726,252.56361522887224,254.6724548339844,121775000
2020-04-16,255.94683374609875,256.75369195266023,252.83862767870144,255.9010009765625,131798300
2020-04-17,261.6590540286196,263.41944685021514,258.92674327686353,262.8143310546875,146684800
2020-04-20,259.11931962908403,262.95189746439894,257.9640704078135,258.1841125488281,100109300
2020-04-21,253.7279824157428,254.92909188820968,249.4094613850949,250.34469604492188,126385700
2020-04-22,255.21334154791583,257.64306593294725,253.89303320643955,255.9010009765625,92951600
2020-04-23,257.17549374033564,260.33873886010645,255.58013253954968,255.8826904296875,104709700
2020-04-24,257.39560066112443,260.11873398584896,255.3509492350438,259.44940185546875,85063200
2020-04-27,261.42067588061485,264.30884067979105,260.9622361353189,263.19024658203125,77896600
2020-04-28,266.8302216256885,267.1786402598977,261.67736409264813,261.9799499511719,105270000
2020-04-29,267.29784515422165,270.36939668055743,266.2709447231819,268.83819580078125,118745600
